BQMall__QP_32_nF_5_SR_32_MSizeL1_16384_AssL1_4_MSizeLL_8388608_AssLL_2_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
0x000ca760	3436	1427	287	6	0	0	1	0	0	3429	1427	287	0.116504854369 %	0.174621653085 %	0.0 %	0.0194174757282 %	0.0291036088475 %	0.0 %
____strtod_l_internal	3399	840	685	162	22	25	63	6	6	3174	812	654	4.24451665313 %	4.76610767873 %	3.08196721311 %	1.52315190902 %	1.85348631951 %	0.786885245902 %
TEncEntropy::setEntropyCoder	3355	1830	1220	239	580	345	4	11	5	3112	1239	870	18.1733021077 %	7.12369597615 %	30.3278688525 %	0.312256049961 %	0.119225037258 %	0.524590163934 %
SyntaxElementWriter::xWriteUvlc	3313	1079	1079	18	0	0	6	0	0	3289	1079	1079	0.32900749406 %	0.543314216722 %	0.0 %	0.109669164687 %	0.181104738907 %	0.0 %
__gnu_cxx::stdio_sync_filebuf<char,	3252	1220	1017	6	3	0	3	0	0	3243	1217	1017	0.163964292221 %	0.184501845018 %	0.134108180599 %	0.0546547640736 %	0.0922509225092 %	0.0 %
TComTrQuant::destroyScalingList	3205	874	870	2	56	2	2	18	0	3201	800	868	1.21236613457 %	0.0624024960998 %	3.32568807339 %	0.404122044858 %	0.0624024960998 %	1.03211009174 %
std::ctype<wchar_t>::_M_initialize_ctype	3189	414	1231	8	4	38	8	0	38	3173	410	1155	1.03434009102 %	0.250862339291 %	2.55319148936 %	0.95159288374 %	0.250862339291 %	2.31003039514 %
TEncSbac::codeSAOSign	3140	1884	942	6	0	0	3	0	0	3131	1884	942	0.100569896078 %	0.191082802548 %	0.0 %	0.0502849480389 %	0.0955414012739 %	0.0 %
TComReferencePictureSet::sortDeltaPOC	3052	283	1733	8	0	0	8	0	0	3036	283	1733	0.157853196527 %	0.262123197903 %	0.0 %	0.157853196527 %	0.262123197903 %	0.0 %
0x000f34a0	3047	745	400	4	17	0	2	0	0	3041	728	400	0.500954198473 %	0.131276665573 %	1.48471615721 %	0.0477099236641 %	0.0656383327863 %	0.0 %
_dl_map_object_deps	3043	704	422	34	11	2	34	0	2	2975	693	418	1.12736867354 %	1.11731843575 %	1.15452930728 %	0.863516430799 %	1.11731843575 %	0.177619893428 %
std::string::find	3016	415	411	5	3	0	5	1	0	3006	411	411	0.208224882874 %	0.165782493369 %	0.363196125908 %	0.156168662155 %	0.165782493369 %	0.121065375303 %
std::ios_base::_M_dispose_callbacks	2888	1216	912	173	0	0	6	0	0	2709	1216	912	3.44896331738 %	5.99030470914 %	0.0 %	0.11961722488 %	0.207756232687 %	0.0 %
df::program_options_lite::Option<GOPEntry>::~Option	2880	832	768	4	72	0	4	0	0	2872	760	768	1.69642857143 %	0.138888888889 %	4.5 %	0.0892857142857 %	0.138888888889 %	0.0 %
TComPicYuv::destroy	2824	612	818	19	45	22	7	12	10	2798	555	786	2.02162670428 %	0.672804532578 %	4.68531468531 %	0.681711330512 %	0.247875354108 %	1.53846153846 %
std::__basic_file<char>::xsgetn	2821	974	1071	36	188	180	10	0	0	2775	786	891	8.30250719277 %	1.27614321163 %	17.9951100244 %	0.205507603781 %	0.354484225452 %	0.0 %
intel_check_word	2789	312	108	6	16	1	6	15	0	2777	281	107	0.716734185104 %	0.21513087128 %	4.04761904762 %	0.654409473356 %	0.21513087128 %	3.57142857143 %
df::program_options_lite::setDefaults	2772	1730	692	1	884	0	1	10	0	2770	836	692	17.0388910281 %	0.036075036075 %	36.4987613543 %	0.211782826338 %	0.036075036075 %	0.412881915772 %
TEncEntropy::encodeTerminatingBit	2750	1650	825	141	126	0	3	1	0	2606	1523	825	5.11004784689 %	5.12727272727 %	5.09090909091 %	0.0765550239234 %	0.109090909091 %	0.040404040404 %
TEncSbac::codeTerminatingBit	2750	1650	825	140	182	0	2	3	0	2608	1465	825	6.16267942584 %	5.09090909091 %	7.35353535354 %	0.0956937799043 %	0.0727272727273 %	0.121212121212 %
std::ios_base::_M_call_callbacks	2736	1216	760	8	12	0	6	0	0	2722	1204	760	0.424448217317 %	0.292397660819 %	0.607287449393 %	0.127334465195 %	0.219298245614 %	0.0 %
__mpn_rshift	2712	908	528	16	0	0	7	0	0	2689	908	528	0.385728061716 %	0.589970501475 %	0.0 %	0.168756027001 %	0.258112094395 %	0.0 %
TEncSbac::determineCabacInitIdx	2700	594	1550	127	0	0	62	0	0	2511	594	1550	2.62180016515 %	4.7037037037 %	0.0 %	1.27993393889 %	2.2962962963 %	0.0 %
TEncBinCABAC::encodeBinTrm	2573	845	605	5	0	2	2	0	0	2566	845	603	0.173999502859 %	0.194325689856 %	0.137931034483 %	0.0497141436739 %	0.0777302759425 %	0.0 %
__GI_memcpy	2525	785	350	28	10	13	8	3	2	2489	772	335	1.39344262295 %	1.10891089109 %	2.02643171806 %	0.355191256831 %	0.316831683168 %	0.440528634361 %
TComPicYuv::copyToPic	2520	840	340	41	329	0	8	16	0	2471	495	340	10.0 %	1.62698412698 %	27.8813559322 %	0.648648648649 %	0.31746031746 %	1.35593220339 %
df::program_options_lite::OptionSpecific&	2508	627	1140	3	0	0	3	0	0	2502	627	1140	0.0701754385965 %	0.11961722488 %	0.0 %	0.0701754385965 %	0.11961722488 %	0.0 %
TComSlice::resetWpScaling	2460	10	1920	6	0	537	5	0	537	2449	10	846	12.3690205011 %	0.243902439024 %	27.8238341969 %	12.3462414579 %	0.20325203252 %	27.8238341969 %
TComYuv::destroy	2451	627	741	4	37	0	2	0	0	2445	590	741	1.07357947107 %	0.16319869441 %	2.70467836257 %	0.0523697302959 %	0.0815993472052 %	0.0 %
wctob	2432	768	640	1	0	0	1	0	0	2430	768	640	0.0260416666667 %	0.0411184210526 %	0.0 %	0.0260416666667 %	0.0411184210526 %	0.0 %
_dl_runtime_resolve	2431	1326	1105	14	0	2	3	0	0	2414	1326	1103	0.329082682024 %	0.575894693542 %	0.082270670506 %	0.0617030028795 %	0.123406005759 %	0.0 %
std::basic_ios<char,	2340	936	468	10	6	0	2	0	0	2328	930	468	0.42735042735 %	0.42735042735 %	0.42735042735 %	0.0534188034188 %	0.0854700854701 %	0.0 %
initRasterToPelXY	2336	296	339	4	1	34	4	0	34	2328	295	271	1.31268933019 %	0.171232876712 %	5.51181102362 %	1.27903062942 %	0.171232876712 %	5.35433070866 %
std::num_put<char,	2281	968	830	9	2	0	4	0	0	2268	966	830	0.269673939691 %	0.394563787812 %	0.111234705228 %	0.0980632507968 %	0.175361683472 %	0.0 %
std::__basic_file<char>::fd	2272	947	758	11	182	180	6	1	1	2255	764	577	9.37892884083 %	0.484154929577 %	21.2316715543 %	0.201156650742 %	0.264084507042 %	0.117302052786 %
TComSlice::applyReferencePictureSet	2271	1012	415	52	20	0	29	4	0	2190	988	415	1.9469983775 %	2.28974020255 %	1.40154169587 %	0.892374256355 %	1.27697049758 %	0.280308339173 %
_dl_map_object	2262	501	385	23	0	5	23	0	5	2216	501	375	0.889453621347 %	1.01679929266 %	0.564334085779 %	0.889453621347 %	1.01679929266 %	0.564334085779 %
TComDataCU::~TComDataCU	2220	740	1036	1	0	0	1	0	0	2218	740	1036	0.025025025025 %	0.045045045045 %	0.0 %	0.025025025025 %	0.045045045045 %	0.0 %
__default_morecore	2192	548	548	6	0	22	3	0	1	2183	548	525	0.851581508516 %	0.273722627737 %	2.00729927007 %	0.121654501217 %	0.136861313869 %	0.0912408759124 %
destroyROM	2183	446	441	3	27	0	3	14	0	2177	405	441	0.977198697068 %	0.137425561154 %	3.04396843292 %	0.553745928339 %	0.137425561154 %	1.57835400225 %
TComPic::getSubstreamForCtuAddr	2175	1160	435	19	44	0	4	1	0	2152	1115	435	1.67108753316 %	0.873563218391 %	2.75862068966 %	0.132625994695 %	0.183908045977 %	0.0626959247649 %
TEncSampleAdaptiveOffset::SAOProcess	2145	245	790	49	73	20	28	7	5	2068	165	765	4.46540880503 %	2.28438228438 %	8.98550724638 %	1.25786163522 %	1.30536130536 %	1.15942028986 %
std::istreambuf_iterator<char,	2092	619	509	75	13	2	24	0	0	1993	606	507	2.7950310559 %	3.58508604207 %	1.32978723404 %	0.745341614907 %	1.14722753346 %	0.0 %
getenv	2043	681	66	4	61	0	4	0	0	2035	620	66	2.32974910394 %	0.195790504161 %	8.16599732262 %	0.143369175627 %	0.195790504161 %	0.0 %
fwrite	2041	727	449	24	14	1	8	2	0	2009	711	448	1.21230960522 %	1.17589416952 %	1.27551020408 %	0.310848616724 %	0.391964723175 %	0.170068027211 %
TEncBinCABACCounter::encodeBinTrm	2025	810	675	163	68	0	9	1	0	1853	741	675	6.5811965812 %	8.04938271605 %	4.57912457912 %	0.2849002849 %	0.444444444444 %	0.0673400673401 %
read_int	1975	755	325	25	1	0	12	1	0	1938	753	325	0.851063829787 %	1.26582278481 %	0.0925925925926 %	0.425531914894 %	0.607594936709 %	0.0925925925926 %
TComSlice::checkThatAllRefPicsAreAvailable	1974	983	405	50	85	0	28	9	0	1896	889	405	4.01546698394 %	2.53292806484 %	6.12391930836 %	1.1005353956 %	1.41843971631 %	0.648414985591 %
index	1906	220	72	7	10	0	7	10	0	1892	200	72	0.773430391265 %	0.367261280168 %	3.42465753425 %	0.773430391265 %	0.367261280168 %	3.42465753425 %
SyntaxElementWriter::xWriteFlag	1892	1032	688	6	0	1	2	0	0	1884	1032	687	0.193798449612 %	0.317124735729 %	0.0581395348837 %	0.0553709856035 %	0.105708245243 %	0.0 %
TEncSlice::initEncSlice	1886	765	443	181	117	38	107	28	20	1598	620	385	10.8597285068 %	9.59703075292 %	12.8311258278 %	5.00969618617 %	5.67338282078 %	3.97350993377 %
TComPicSym::initCtuTsRsAddrMaps	1800	465	730	15	0	40	6	0	32	1779	465	658	1.83639398998 %	0.833333333333 %	3.34728033473 %	1.26878130217 %	0.333333333333 %	2.67782426778 %
std::istream&	1794	650	676	73	0	0	5	0	0	1716	650	676	2.33974358974 %	4.06911928651 %	0.0 %	0.160256410256 %	0.278706800446 %	0.0 %
TEncBinCABAC::init	1760	1320	440	154	0	0	2	0	0	1604	1320	440	4.375 %	8.75 %	0.0 %	0.0568181818182 %	0.113636363636 %	0.0 %
writeAnnexB	1758	479	541	51	55	6	49	3	0	1658	421	535	4.0316774658 %	2.90102389078 %	5.98039215686 %	1.87185025198 %	2.78725824801 %	0.294117647059 %
SyntaxElementWriter::xWriteCode	1746	776	582	7	1	1	2	1	0	1737	774	581	0.289948453608 %	0.400916380298 %	0.147275405007 %	0.0966494845361 %	0.114547537228 %	0.0736377025037 %
std::ios_base::Init::Init	1712	426	619	38	25	23	36	0	20	1638	401	576	3.11933260791 %	2.21962616822 %	4.59330143541 %	2.03119332608 %	2.10280373832 %	1.91387559809 %
fileno	1701	756	189	5	371	0	3	9	0	1693	376	189	14.2101284958 %	0.293944738389 %	39.2592592593 %	0.453514739229 %	0.176366843034 %	0.952380952381 %
strlen	1698	246	2	6	6	0	6	5	0	1686	235	2	0.616649537513 %	0.353356890459 %	2.41935483871 %	0.565262076053 %	0.353356890459 %	2.01612903226 %
df::program_options_lite::Option<unsigned	1676	497	838	49	2	0	11	0	0	1616	495	838	1.69378943872 %	2.92362768496 %	0.149812734082 %	0.365327133843 %	0.656324582339 %	0.0 %
std::num_get<char,	1664	650	676	11	0	6	6	0	0	1647	650	670	0.56856187291 %	0.661057692308 %	0.452488687783 %	0.200668896321 %	0.360576923077 %	0.0 %
__run_exit_handlers	1652	336	274	4	39	2	4	38	0	1644	259	272	1.98938992042 %	0.242130750605 %	6.72131147541 %	1.85676392573 %	0.242130750605 %	6.22950819672 %
_dl_load_cache_lookup	1637	457	241	17	36	0	17	35	0	1603	386	241	2.26980728051 %	1.0384850336 %	5.15759312321 %	2.22698072805 %	1.0384850336 %	5.01432664756 %
TEncSampleAdaptiveOffset::destroyEncData	1633	596	291	8	16	0	6	0	0	1619	580	291	0.952380952381 %	0.489895897122 %	1.80383314543 %	0.238095238095 %	0.367421922841 %	0.0 %
TEncCavlc::codeSliceHeader	1622	509	357	136	70	3	77	0	0	1409	439	354	8.40032154341 %	8.38471023428 %	8.42956120092 %	3.09485530547 %	4.74722564735 %	0.0 %
ContextModel::buildNextStateTable	1618	389	389	2	8	8	2	8	8	1614	373	373	0.751252086811 %	0.123609394314 %	2.05655526992 %	0.751252086811 %	0.123609394314 %	2.05655526992 %
std::num_get<char,	1598	482	400	55	4	0	21	0	0	1522	478	400	2.37903225806 %	3.44180225282 %	0.453514739229 %	0.846774193548 %	1.31414267835 %	0.0 %
TEncSampleAdaptiveOffset::createEncData	1564	444	591	12	2	35	12	0	32	1540	442	524	1.88534051558 %	0.76726342711 %	3.57487922705 %	1.69295883032 %	0.76726342711 %	3.09178743961 %
__cxa_atexit	1564	408	544	4	0	24	2	0	15	1558	408	505	1.11287758347 %	0.255754475703 %	2.52100840336 %	0.675675675676 %	0.127877237852 %	1.5756302521 %
std::basic_stringbuf<char,	1540	616	462	16	0	0	10	0	0	1514	616	462	0.61115355233 %	1.03896103896 %	0.0 %	0.381970970206 %	0.649350649351 %	0.0 %
SAOOffset::~SAOOffset	1527	1527	0	6	0	0	2	0	0	1519	1527	0	0 %	0 %	0 %	0 %	0 %	0 %
_dl_important_hwcaps	1520	216	162	21	0	3	21	0	3	1478	216	156	1.26448893572 %	1.38157894737 %	0.793650793651 %	1.26448893572 %	1.38157894737 %	0.793650793651 %
TComReferencePictureSet::getDeltaPOC	1512	1512	0	1	4	0	0	2	0	1511	1506	0	0 %	0 %	0 %	0 %	0 %	0 %
std::string::_M_replace_safe	1510	1340	1330	10	2	144	10	2	63	1490	1336	1123	3.73205741627 %	0.662251655629 %	5.46816479401 %	1.79425837321 %	0.662251655629 %	2.43445692884 %
__x86.get_pc_thunk.cx	1480	1480	0	5	0	0	5	0	0	1470	1480	0	0 %	0 %	0 %	0 %	0 %	0 %
_IO_padn	1480	440	360	23	0	6	10	0	1	1447	440	353	1.27192982456 %	1.55405405405 %	0.75 %	0.482456140351 %	0.675675675676 %	0.125 %
putchar	1450	500	375	30	28	0	15	0	0	1405	472	375	2.49462365591 %	2.06896551724 %	3.2 %	0.645161290323 %	1.03448275862 %	0.0 %
TEncCavlc::codeShortTermRefPicSet	1429	267	682	8	21	0	8	0	0	1413	246	682	1.21951219512 %	0.559832050385 %	2.21285563751 %	0.336417157275 %	0.559832050385 %	0.0 %
std::basic_string<char,	1425	525	600	1	0	0	1	0	0	1423	525	600	0.0392156862745 %	0.0701754385965 %	0.0 %	0.0392156862745 %	0.0701754385965 %	0.0 %
__mpn_lshift	1394	563	298	22	0	6	9	0	1	1363	563	291	1.24168514412 %	1.57819225251 %	0.696864111498 %	0.443458980044 %	0.6456241033 %	0.116144018583 %
_dl_sysinfo_int80	1379	689	0	13	0	0	3	0	0	1363	689	0	0 %	0 %	0 %	0 %	0 %	0 %
__GI_memcmp	1377	461	147	7	1	0	7	1	0	1363	459	147	0.403022670025 %	0.508351488744 %	0.164473684211 %	0.403022670025 %	0.508351488744 %	0.164473684211 %
TComSlice::TComSlice	1350	30	840	41	0	102	39	0	102	1270	30	636	6.44144144144 %	3.03703703704 %	11.724137931 %	6.35135135135 %	2.88888888889 %	11.724137931 %
initRasterToZscan	1310	263	260	1	0	32	1	0	32	1308	263	196	1.80032733224 %	0.0763358778626 %	6.11854684512 %	1.80032733224 %	0.0763358778626 %	6.11854684512 %
df::program_options_lite::OptionSpecific&	1284	362	394	13	11	6	12	0	6	1259	351	382	1.47058823529 %	1.01246105919 %	2.24867724868 %	0.882352941176 %	0.934579439252 %	0.793650793651 %
dl_main	1282	322	258	68	53	25	68	25	20	1146	244	213	7.8410311493 %	5.30421216849 %	13.4482758621 %	6.06874328679 %	5.30421216849 %	7.75862068966 %
_dl_new_object	1263	260	302	17	7	45	17	7	45	1229	246	212	3.78082191781 %	1.34600158353 %	9.25266903915 %	3.78082191781 %	1.34600158353 %	9.25266903915 %
TComSlice::setRefPicList	1258	258	354	81	36	34	42	2	9	1135	220	311	8.07486631016 %	6.43879173291 %	11.4379084967 %	2.83422459893 %	3.3386327504 %	1.79738562092 %
__mpn_extract_double	1252	390	351	23	0	6	10	0	1	1219	390	344	1.45509282489 %	1.83706070288 %	0.80971659919 %	0.551931761164 %	0.798722044728 %	0.134952766532 %
0x001366ab	1234	1234	0	0	0	0	0	0	0	1234	1234	0	0 %	0 %	0 %	0 %	0 %	0 %
wctype_l	1230	217	382	3	4	0	3	0	0	1224	213	382	0.382722799344 %	0.243902439024 %	0.667779632721 %	0.164024056862 %	0.243902439024 %	0.0 %
std::locale::_Impl::_Impl	1226	179	638	84	48	52	84	1	52	1058	130	534	9.00636319139 %	6.8515497553 %	12.2399020808 %	6.7058247675 %	6.8515497553 %	6.48714810282 %
ProfileTierLevel::ProfileTierLevel	1218	63	357	4	0	32	2	0	29	1212	63	296	2.1978021978 %	0.328407224959 %	7.61904761905 %	1.89255189255 %	0.164203612479 %	6.90476190476 %
TEncSearch::init	1207	283	342	21	1	18	21	0	7	1165	282	317	2.18340611354 %	1.73985086993 %	3.04 %	1.52838427948 %	1.73985086993 %	1.12 %
TEncSbac::setSlice	1180	885	295	5	0	0	4	0	0	1171	885	295	0.21186440678 %	0.423728813559 %	0.0 %	0.169491525424 %	0.338983050847 %	0.0 %
__libc_memalign	1155	308	292	3	2	6	3	0	3	1149	306	283	0.626780626781 %	0.25974025974 %	1.33333333333 %	0.34188034188 %	0.25974025974 %	0.5 %
std::ctype<char>::_M_widen_init	1155	81	334	7	3	8	5	0	0	1143	78	326	1.14649681529 %	0.606060606061 %	2.65060240964 %	0.31847133758 %	0.4329004329 %	0.0 %
TEncTop::create	1145	485	423	11	22	9	11	0	0	1123	463	414	2.04578665368 %	0.960698689956 %	3.4140969163 %	0.535801266439 %	0.960698689956 %	0.0 %
df::program_options_lite::OptionSpecific&	1132	328	452	7	12	2	7	0	2	1118	316	448	1.09832635983 %	0.618374558304 %	1.79487179487 %	0.470711297071 %	0.618374558304 %	0.25641025641 %
std::string::swap	1120	640	240	7	0	0	6	0	0	1107	640	240	0.35 %	0.625 %	0.0 %	0.3 %	0.535714285714 %	0.0 %
fflush	1113	378	273	32	8	0	12	3	0	1069	367	273	2.26757369615 %	2.87511230907 %	1.22887864823 %	0.850340136054 %	1.0781671159 %	0.460829493088 %
df::program_options_lite::Option<unsigned	1095	292	288	4	28	0	4	0	0	1087	264	288	1.91044776119 %	0.365296803653 %	4.8275862069 %	0.238805970149 %	0.365296803653 %	0.0 %
EnvVar::EnvVar	1085	310	404	20	6	0	20	0	0	1045	304	404	1.44524735964 %	1.84331797235 %	0.840336134454 %	1.11172873819 %	1.84331797235 %	0.0 %
TComPic::compressMotion	1070	455	300	7	24	0	5	0	0	1058	431	300	1.69863013699 %	0.654205607477 %	3.17880794702 %	0.27397260274 %	0.467289719626 %	0.0 %
open_verify	1061	268	195	12	8	0	12	8	0	1037	252	195	1.31233595801 %	1.13100848256 %	1.72786177106 %	1.31233595801 %	1.13100848256 %	1.72786177106 %
TComDataCU::~TComDataCU	1036	296	296	1	0	0	1	0	0	1034	296	296	0.0614250614251 %	0.0965250965251 %	0.0 %	0.0614250614251 %	0.0965250965251 %	0.0 %
mmap	1035	523	208	11	0	2	6	0	1	1018	523	205	0.736126840317 %	1.06280193237 %	0.273597811218 %	0.39637599094 %	0.579710144928 %	0.136798905609 %
TComScalingList::init	1023	174	234	2	2	10	2	0	6	1019	172	218	0.978336827393 %	0.19550342131 %	2.94117647059 %	0.559049615653 %	0.19550342131 %	1.47058823529 %
__read_nocancel	970	582	194	0	0	0	0	0	0	970	582	194	0.0 %	0.0 %	0.0 %	0.0 %	0.0 %	0.0 %
std::istreambuf_iterator<char,	960	360	180	3	0	0	1	0	0	956	360	180	0.2 %	0.3125 %	0.0 %	0.0666666666667 %	0.104166666667 %	0.0 %
confirmPara	960	288	192	1	0	0	1	0	0	958	288	192	0.0694444444444 %	0.104166666667 %	0.0 %	0.0694444444444 %	0.104166666667 %	0.0 %
TEncCu::create	953	339	463	20	12	17	20	0	2	913	327	444	2.79202279202 %	2.09863588667 %	3.61596009975 %	1.25356125356 %	2.09863588667 %	0.249376558603 %
__write_nocancel	940	564	188	0	0	0	0	0	0	940	564	188	0.0 %	0.0 %	0.0 %	0.0 %	0.0 %	0.0 %
TEncTop::selectReferencePictureSet	922	365	87	25	60	7	15	53	6	882	252	74	6.69577874818 %	2.7114967462 %	14.8230088496 %	5.38573508006 %	1.62689804772 %	13.0530973451 %
__writev_nocancel	920	552	184	2	0	0	2	0	0	916	552	184	0.12077294686 %	0.217391304348 %	0.0 %	0.12077294686 %	0.217391304348 %	0.0 %
std::string::push_back	918	351	243	10	0	0	3	0	0	905	351	243	0.661375661376 %	1.08932461874 %	0.0 %	0.198412698413 %	0.326797385621 %	0.0 %
TComReferencePictureSet::setUsed	915	732	183	1	0	0	1	0	0	913	732	183	0.0546448087432 %	0.109289617486 %	0.0 %	0.0546448087432 %	0.109289617486 %	0.0 %
TComReferencePictureSet::setDeltaPOC	915	732	183	0	0	0	0	0	0	915	732	183	0.0 %	0.0 %	0.0 %	0.0 %	0.0 %	0.0 %
std::ostream::operator<<	901	347	347	38	3	0	3	0	0	860	344	347	2.57053291536 %	4.21753607103 %	0.432276657061 %	0.188087774295 %	0.332963374029 %	0.0 %
_dl_mcount_wrapper_check	896	384	128	2	0	0	2	0	0	892	384	128	0.142045454545 %	0.223214285714 %	0.0 %	0.142045454545 %	0.223214285714 %	0.0 %
std::basic_stringbuf<char,	888	444	0	2	0	0	2	0	0	884	444	0	0 %	0 %	0 %	0 %	0 %	0 %
TComReferencePictureSet::getUsed	884	884	0	6	7	0	3	4	0	875	873	0	0 %	0 %	0 %	0 %	0 %	0 %
std::ios_base::Init::~Init	882	216	166	6	11	0	6	9	0	870	196	166	1.34493670886 %	0.680272108844 %	2.87958115183 %	1.18670886076 %	0.680272108844 %	2.35602094241 %
strsep	848	270	7	2	0	0	2	0	0	844	270	7	0.177777777778 %	0.235849056604 %	0.0 %	0.177777777778 %	0.235849056604 %	0.0 %
TComSlice::sortPicList	847	301	176	12	64	19	10	4	1	825	233	156	7.1752265861 %	1.41676505313 %	17.4004192872 %	1.1329305136 %	1.18063754427 %	1.04821802935 %
bcmp	833	302	76	11	13	0	9	12	0	813	277	76	1.98183319571 %	1.32052821128 %	3.43915343915 %	1.73410404624 %	1.08043217287 %	3.1746031746 %
df::program_options_lite::Option<SMultiValueInput<int>	810	206	208	4	29	0	4	0	0	802	177	208	2.69607843137 %	0.493827160494 %	7.00483091787 %	0.326797385621 %	0.493827160494 %	0.0 %
TEncTop::destroy	801	357	175	6	30	0	6	6	0	789	321	175	2.70067516879 %	0.749063670412 %	5.63909774436 %	0.900225056264 %	0.749063670412 %	1.12781954887 %
memcpy	800	294	154	6	2	17	6	0	17	788	292	120	2.00320512821 %	0.75 %	4.24107142857 %	1.84294871795 %	0.75 %	3.79464285714 %
memset	795	136	367	7	2	41	5	0	41	783	134	285	3.85208012327 %	0.880503144654 %	8.54870775348 %	3.54391371341 %	0.62893081761 %	8.15109343936 %
__mpn_cmp	792	352	88	12	0	0	6	0	0	774	352	88	0.974025974026 %	1.51515151515 %	0.0 %	0.487012987013 %	0.757575757576 %	0.0 %
TComScalingList::destroy	774	171	159	1	9	0	1	9	0	772	153	159	0.905797101449 %	0.129198966408 %	2.72727272727 %	0.905797101449 %	0.129198966408 %	2.72727272727 %
std::basic_istream<char,	773	315	202	47	10	0	17	0	0	709	305	202	4.41860465116 %	6.08020698577 %	1.93423597679 %	1.31782945736 %	2.19922380336 %	0.0 %
__gconv_btwoc_ascii	768	256	0	1	0	0	1	0	0	766	256	0	0 %	0 %	0 %	0 %	0 %	0 %
std::istream&	759	275	286	19	1	0	4	0	0	736	274	286	1.51515151515 %	2.50329380764 %	0.17825311943 %	0.30303030303 %	0.527009222661 %	0.0 %
TComPic::create	755	325	380	19	50	19	19	2	0	717	273	361	6.02739726027 %	2.51655629139 %	9.78723404255 %	1.43835616438 %	2.51655629139 %	0.283687943262 %
TEncCu::destroy	718	281	212	11	10	0	11	1	0	696	270	212	1.73410404624 %	1.53203342618 %	2.02839756592 %	0.990916597853 %	1.53203342618 %	0.202839756592 %
TEncSlice::setUpLambda	715	225	205	35	15	13	21	4	0	659	206	192	5.50218340611 %	4.8951048951 %	6.51162790698 %	2.18340611354 %	2.93706293706 %	0.93023255814 %
TAppEncCfg::xPrintParameter	690	197	344	56	7	0	54	0	0	580	190	344	5.1177904143 %	8.11594202899 %	1.29390018484 %	4.38667749797 %	7.82608695652 %	0.0 %
operator>>	664	182	286	22	1	0	8	0	0	634	181	286	2.03180212014 %	3.31325301205 %	0.213675213675 %	0.706713780919 %	1.20481927711 %	0.0 %
_dl_sort_fini	662	212	107	6	8	0	6	8	0	650	196	107	1.42711518858 %	0.906344410876 %	2.5078369906 %	1.42711518858 %	0.906344410876 %	2.5078369906 %
std::_List_base<AccessUnit,	652	242	193	23	23	14	18	3	0	611	216	179	5.51977920883 %	3.52760736196 %	8.50574712644 %	1.93192272309 %	2.76073619632 %	0.689655172414 %
std::vector<unsigned	648	188	149	22	6	0	14	0	0	612	182	149	2.84263959391 %	3.3950617284 %	1.78041543027 %	1.42131979695 %	2.16049382716 %	0.0 %
puts	630	217	161	14	7	0	14	0	0	602	210	161	2.08333333333 %	2.22222222222 %	1.85185185185 %	1.38888888889 %	2.22222222222 %	0.0 %
df::program_options_lite::Option<int>::setDefault	625	500	125	0	34	17	0	0	12	625	466	96	4.08 %	0.0 %	8.16 %	0.96 %	0.0 %	1.92 %
TComYuv::~TComYuv	623	198	254	2	0	0	1	0	0	620	198	254	0.186046511628 %	0.321027287319 %	0.0 %	0.093023255814 %	0.16051364366 %	0.0 %
TComPicYuv::TComPicYuv	612	68	442	14	0	28	4	0	21	594	68	393	3.74331550802 %	2.28758169935 %	5.49019607843 %	2.22816399287 %	0.653594771242 %	4.11764705882 %
_dl_catch_error	611	156	299	4	0	5	4	0	5	603	156	289	0.844277673546 %	0.654664484452 %	1.0989010989 %	0.844277673546 %	0.654664484452 %	1.0989010989 %
TAppEncTop::encode	607	185	281	52	67	22	38	11	0	517	107	259	13.1407269338 %	8.56672158155 %	19.0987124464 %	4.56663560112 %	6.26029654036 %	2.36051502146 %
df::program_options_lite::Option<GOPEntry>::parse	604	176	304	44	3	0	13	0	0	547	173	304	4.33579335793 %	7.28476821192 %	0.625 %	1.19926199262 %	2.15231788079 %	0.0 %
_dl_start	604	155	87	16	23	19	16	21	18	572	111	50	6.85579196217 %	2.64900662252 %	17.3553719008 %	6.5011820331 %	2.64900662252 %	16.1157024793 %
std::vector<unsigned	600	184	136	43	7	0	12	1	0	545	176	136	5.4347826087 %	7.16666666667 %	2.1875 %	1.41304347826 %	2.0 %	0.3125 %
std::num_get<char,	598	214	258	41	8	0	8	0	0	549	206	258	4.57943925234 %	6.85618729097 %	1.69491525424 %	0.747663551402 %	1.33779264214 %	0.0 %
TComRdCost::setLambda	590	240	185	40	10	19	22	3	4	528	227	162	6.79802955665 %	6.77966101695 %	6.82352941176 %	2.85714285714 %	3.72881355932 %	1.64705882353 %
TEncCavlc::codeProfileTier	578	94	272	6	5	0	6	4	0	566	85	272	1.16525423729 %	1.03806228374 %	1.36612021858 %	1.0593220339 %	1.03806228374 %	1.09289617486 %
