Traffic__QP_32_nF_5_SR_1_MSizeL1_16384_AssL1_4_MSizeLL_8388608_AssLL_2_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
0x00019b20	9548	9548	0	1	0	0	1	0	0	9546	9548	0	0 %	0 %	0 %	0 %	0 %	0 %
btowc	9472	2944	1920	4	4	0	4	0	0	9464	2940	1920	0.0558035714286 %	0.0422297297297 %	0.0822368421053 %	0.0279017857143 %	0.0422297297297 %	0.0 %
initZscanToRaster	9459	3453	3591	2	0	32	2	0	32	9455	3453	3527	0.206023147307 %	0.0211438841315 %	0.45428733674 %	0.206023147307 %	0.0211438841315 %	0.45428733674 %
std::locale::operator=	9450	3465	2205	29	0	0	14	0	0	9407	3465	2205	0.191798941799 %	0.306878306878 %	0.0 %	0.0925925925926 %	0.148148148148 %	0.0 %
std::basic_stringbuf<char,	9402	3408	2440	144	279	19	79	30	0	9179	3099	2421	2.89836065574 %	1.53158902361 %	5.09575923393 %	0.714754098361 %	0.840246756009 %	0.512995896033 %
__mpn_mul_1	9388	2949	1609	7	0	2	6	0	2	9375	2949	1605	0.0645346335867 %	0.0745632722625 %	0.0438788942519 %	0.0573641187437 %	0.063911376225 %	0.0438788942519 %
TEncGOP::compressGOP	9314	4263	3811	790	761	335	787	400	235	7737	3102	3241	10.8465608466 %	8.48185527163 %	13.5744364627 %	8.17805383023 %	8.44964569465 %	7.86475105276 %
std::string::reserve	9307	3677	2598	81	32	27	29	6	0	9197	3639	2571	0.898472596586 %	0.870312667884 %	0.940239043825 %	0.224618149146 %	0.311593424304 %	0.0956175298805 %
__GI_mempcpy	9306	3596	1312	8	2	34	6	2	26	9292	3592	1252	0.309553960884 %	0.0859660434129 %	0.733496332518 %	0.239200787956 %	0.0644745325596 %	0.570497147514 %
std::ctype<char>	9164	3792	2844	98	0	0	14	0	0	9052	3792	2844	0.620253164557 %	1.06940200786 %	0.0 %	0.0886075949367 %	0.152771715408 %	0.0 %
std::num_get<char,	9019	3732	2799	61	0	0	14	0	0	8944	3732	2799	0.392282958199 %	0.67634992793 %	0.0 %	0.0900321543408 %	0.155227852312 %	0.0 %
std::num_put<char,	9019	3732	2799	20	0	0	14	0	0	8985	3732	2799	0.128617363344 %	0.221754074731 %	0.0 %	0.0900321543408 %	0.155227852312 %	0.0 %
0x00084ec0	8863	2532	1267	10	28	0	7	13	0	8846	2491	1267	0.300110567051 %	0.112828613336 %	0.737036062122 %	0.157952930027 %	0.0789800293354 %	0.342195314556 %
std::string::assign	8811	3012	1872	72	63	14	34	21	0	8705	2928	1858	1.0879883169 %	0.817160367722 %	1.57657657658 %	0.401606425703 %	0.385881284758 %	0.429975429975 %
__printf_chk	8316	3036	2508	35	32	6	34	29	6	8247	2975	2496	0.526695526696 %	0.420875420875 %	0.685425685426 %	0.497835497835 %	0.40885040885 %	0.631313131313 %
std::basic_ostream<char,	8233	3871	2178	48	16	8	30	4	4	8155	3851	2166	0.504131074079 %	0.583019555448 %	0.396759795007 %	0.266069177986 %	0.364387222155 %	0.132253265002 %
mmap	7866	4087	1693	15	0	7	13	0	1	7838	4087	1685	0.161219404954 %	0.190694126621 %	0.121107266436 %	0.102594166789 %	0.165268243071 %	0.0173010380623 %
std::ostreambuf_iterator<char,	7655	2235	2388	14	67	0	9	0	0	7632	2168	2388	0.659716566216 %	0.18288700196 %	1.44927536232 %	0.0733018406907 %	0.117570215545 %	0.0 %
df::program_options_lite::Option<int>::~Option	7577	1991	1988	3	205	0	3	0	0	7571	1786	1988	1.79993077189 %	0.0395935066649 %	5.15204825333 %	0.0259605399792 %	0.0395935066649 %	0.0 %
read	7562	3781	5	6	0	0	3	0	0	7553	3781	5	0.052872752908 %	0.0793440888654 %	0.0 %	0.026436376454 %	0.0396720444327 %	0.0 %
hack_digit	7531	2456	2584	39	0	5	39	0	5	7453	2456	2574	0.350011932225 %	0.517859514009 %	0.0992063492063 %	0.350011932225 %	0.517859514009 %	0.0992063492063 %
std::_Rb_tree_decrement	7298	2919	0	88	14	0	3	0	0	7207	2905	0	0 %	0 %	0 %	0 %	0 %	0 %
std::string::_Rep::_M_clone	7161	2820	2602	191	18	25	35	6	0	6935	2796	2577	1.85965191131 %	2.66722524787 %	0.793065289561 %	0.325836445999 %	0.488758553275 %	0.110660272962 %
TEncTop::TEncTop	6891	7	4162	22	2	531	22	0	527	6847	5	3104	5.01808318264 %	0.319257001887 %	12.7848404893 %	4.96383363472 %	0.319257001887 %	12.6409210842 %
TAppEncCfg::TAppEncCfg	6807	7	4101	16	2	525	16	0	525	6775	5	3051	4.97480531379 %	0.235052152196 %	12.8286270691 %	4.95648190563 %	0.235052152196 %	12.7799415774 %
std::basic_stringbuf<char,	6746	2218	2087	75	19	7	28	6	0	6643	2193	2080	0.913944439417 %	1.11176993774 %	0.603948896632 %	0.307664464754 %	0.415060776757 %	0.1393728223 %
std::istream::operator>>	6615	2428	2493	40	6	24	5	0	0	6570	2422	2469	0.606796116505 %	0.604686318972 %	0.60963218858 %	0.0433425797503 %	0.0755857898715 %	0.0 %
TAppEncTop::xInitLibCfg	6421	4833	4793	65	583	600	65	0	51	6291	4250	4142	7.77715460834 %	1.01230337954 %	12.289632246 %	0.722876550134 %	1.01230337954 %	0.529815084147 %
TEncTop::xInitRPS	6333	2244	3155	22	100	12	22	0	0	6289	2144	3143	1.14217524719 %	0.347386704563 %	2.07445823301 %	0.18752130924 %	0.347386704563 %	0.0 %
_IO_default_xsputn	5934	1716	1138	9	0	0	4	0	0	5921	1716	1138	0.102412380519 %	0.151668351871 %	0.0 %	0.045516613564 %	0.0674081563869 %	0.0 %
_dl_check_map_versions	5927	2161	1011	14	57	71	14	51	68	5899	2053	872	1.56061105616 %	0.236207187447 %	4.03530895334 %	1.46169908781 %	0.236207187447 %	3.75157629256 %
_dl_cache_libcmp	5883	1636	466	5	37	0	5	37	0	5873	1562	466	0.52598622417 %	0.0849906510284 %	1.76022835395 %	0.52598622417 %	0.0849906510284 %	1.76022835395 %
std::ostream&	5876	2397	1852	14	7	0	8	0	0	5854	2390	1852	0.207407407407 %	0.238257317903 %	0.164744645799 %	0.079012345679 %	0.136147038802 %	0.0 %
0x000ca680	5871	2214	647	17	1	0	4	0	0	5850	2213	647	0.206138341732 %	0.289558848578 %	0.0349528137015 %	0.0458085203848 %	0.068131493783 %	0.0 %
df::program_options_lite::Option<GOPEntry>::setDefault	5504	4416	4224	1	529	512	1	0	0	5502	3887	3712	7.36708144796 %	0.0181686046512 %	12.0486111111 %	0.00707013574661 %	0.0181686046512 %	0.0 %
df::program_options_lite::scanFile	5486	1761	1476	14	61	0	5	0	0	5467	1700	1476	0.859795941763 %	0.255195041925 %	1.88446092061 %	0.0573197294509 %	0.0911410864017 %	0.0 %
df::program_options_lite::Option<bool>::~Option	5391	1426	1416	4	137	0	4	0	0	5383	1289	1416	1.71261994413 %	0.074197736969 %	4.82054890922 %	0.048584962954 %	0.074197736969 %	0.0 %
df::program_options_lite::OptionSpecific&	5375	1625	2375	3	0	0	3	0	0	5369	1625	2375	0.032 %	0.0558139534884 %	0.0 %	0.032 %	0.0558139534884 %	0.0 %
_itoa_word	5216	1261	725	24	9	0	21	8	0	5171	1244	725	0.458206053874 %	0.460122699387 %	0.453172205438 %	0.402665926132 %	0.402607361963 %	0.402819738167 %
0x000ca570	5200	2288	1456	158	18	1	2	0	0	5040	2270	1455	1.978980322 %	3.03846153846 %	0.507478632479 %	0.0223613595707 %	0.0384615384615 %	0.0 %
__strcmp_ssse3	5016	3135	0	38	52	0	21	6	0	4957	3077	0	0 %	0 %	0 %	0 %	0 %	0 %
TEncSbac::resetEntropy	5008	312	3340	226	47	15	226	13	10	4556	252	3315	3.32563510393 %	4.51277955272 %	1.69769989047 %	2.8752886836 %	4.51277955272 %	0.629791894852 %
__GI_strlen	5001	842	0	28	34	0	20	29	0	4953	779	0	0 %	0 %	0 %	0 %	0 %	0 %
_dl_map_object_from_fd	4776	1278	794	49	47	52	49	47	52	4678	1184	690	2.16121495327 %	1.02596314908 %	4.77799227799 %	2.16121495327 %	1.02596314908 %	4.77799227799 %
TComTrQuant::initScalingList	4516	1070	1335	4	2	55	4	1	55	4508	1067	1225	0.881375523768 %	0.088573959256 %	2.37006237006 %	0.86692674469 %	0.088573959256 %	2.32848232848 %
finite	4440	1480	0	10	0	0	10	0	0	4420	1480	0	0 %	0 %	0 %	0 %	0 %	0 %
_IO_do_write@@GLIBC_2.1	4421	1543	1172	40	9	8	30	6	6	4351	1528	1158	0.798766816143 %	0.904772675865 %	0.626151012891 %	0.588565022422 %	0.678579506899 %	0.441988950276 %
df::program_options_lite::storePair	4408	1444	988	75	213	0	4	0	0	4329	1231	988	4.21052631579 %	1.70145190563 %	8.75822368421 %	0.0584795321637 %	0.0907441016334 %	0.0 %
TComYuv::create	4389	1026	1083	3	0	20	3	0	0	4383	1026	1063	0.353955063096 %	0.0683526999316 %	0.94831673779 %	0.0461680517082 %	0.0683526999316 %	0.0 %
std::ios_base::~ios_base	4264	1372	1676	43	126	0	14	22	0	4207	1224	1676	2.31126914661 %	1.00844277674 %	4.13385826772 %	0.492341356674 %	0.328330206379 %	0.721784776903 %
match_symbol	4112	1675	380	5	85	0	5	83	0	4102	1507	380	1.45938057402 %	0.121595330739 %	4.13625304136 %	1.4269498946 %	0.121595330739 %	4.03892944039 %
df::program_options_lite::Option<int>::parse	4108	1217	2054	144	8	0	13	0	0	3951	1209	2054	2.05989971541 %	3.50535540409 %	0.244573524916 %	0.176175633555 %	0.316455696203 %	0.0 %
0x00019b2c	3968	3968	0	0	0	0	0	0	0	3968	3968	0	0 %	0 %	0 %	0 %	0 %	0 %
df::program_options_lite::Option<bool>::parse	3956	1172	1978	81	1	0	12	0	0	3863	1171	1978	1.15395440473 %	2.04752275025 %	0.031746031746 %	0.168871376302 %	0.303336703741 %	0.0 %
_IO_file_write@@GLIBC_2.1	3666	1128	752	25	0	14	19	0	12	3622	1128	726	0.703209520375 %	0.681942171304 %	0.744680851064 %	0.558961413631 %	0.518276050191 %	0.63829787234 %
__new_exitfn	3624	752	759	8	12	8	5	1	2	3611	739	749	0.545277507303 %	0.220750551876 %	1.32362673726 %	0.155793573515 %	0.137969094923 %	0.198544010589 %
std::num_get<char,	3556	1538	1346	5	1	0	4	0	0	3547	1537	1346	0.0931677018634 %	0.140607424072 %	0.0346740638003 %	0.0621118012422 %	0.112485939258 %	0.0 %
TComReferencePictureSet::TComReferencePictureSet	3480	150	1980	18	0	167	18	0	161	3444	150	1652	3.29768270945 %	0.51724137931 %	7.84037558685 %	3.19073083779 %	0.51724137931 %	7.55868544601 %
0x000ca760	3448	1432	288	6	0	0	1	0	0	3441	1432	288	0.116099071207 %	0.174013921114 %	0.0 %	0.0193498452012 %	0.0290023201856 %	0.0 %
____strtod_l_internal	3399	840	685	162	22	25	63	6	6	3174	812	654	4.24451665313 %	4.76610767873 %	3.08196721311 %	1.52315190902 %	1.85348631951 %	0.786885245902 %
SyntaxElementWriter::xWriteUvlc	3337	1079	1079	18	0	0	18	0	0	3301	1079	1079	0.327570518653 %	0.539406652682 %	0.0 %	0.327570518653 %	0.539406652682 %	0.0 %
__gnu_cxx::stdio_sync_filebuf<char,	3252	1220	1017	6	3	0	3	0	0	3243	1217	1017	0.163964292221 %	0.184501845018 %	0.134108180599 %	0.0546547640736 %	0.0922509225092 %	0.0 %
TComTrQuant::destroyScalingList	3205	874	870	2	56	2	2	55	0	3201	763	868	1.21236613457 %	0.0624024960998 %	3.32568807339 %	1.15174782784 %	0.0624024960998 %	3.15366972477 %
std::ctype<wchar_t>::_M_initialize_ctype	3189	414	1231	8	4	38	8	0	38	3173	410	1155	1.03434009102 %	0.250862339291 %	2.55319148936 %	0.95159288374 %	0.250862339291 %	2.31003039514 %
TComReferencePictureSet::sortDeltaPOC	3052	283	1733	8	0	0	8	0	0	3036	283	1733	0.157853196527 %	0.262123197903 %	0.0 %	0.157853196527 %	0.262123197903 %	0.0 %
0x000f34a0	3047	745	400	4	17	0	2	0	0	3041	728	400	0.500954198473 %	0.131276665573 %	1.48471615721 %	0.0477099236641 %	0.0656383327863 %	0.0 %
_dl_map_object_deps	3043	704	422	34	11	3	34	0	2	2975	693	417	1.15135524107 %	1.11731843575 %	1.243339254 %	0.863516430799 %	1.11731843575 %	0.177619893428 %
std::string::find	3016	415	411	5	3	0	5	1	0	3006	411	411	0.208224882874 %	0.165782493369 %	0.363196125908 %	0.156168662155 %	0.165782493369 %	0.121065375303 %
std::ios_base::_M_dispose_callbacks	2888	1216	912	174	0	0	7	0	0	2707	1216	912	3.46889952153 %	6.02493074792 %	0.0 %	0.139553429027 %	0.242382271468 %	0.0 %
df::program_options_lite::Option<GOPEntry>::~Option	2880	832	768	4	72	0	4	0	0	2872	760	768	1.69642857143 %	0.138888888889 %	4.5 %	0.0892857142857 %	0.138888888889 %	0.0 %
TComPicYuv::destroy	2824	612	818	19	56	28	19	30	27	2786	526	763	2.42125058768 %	0.672804532578 %	5.87412587413 %	1.78655383169 %	0.672804532578 %	3.98601398601 %
intel_check_word	2789	312	108	6	16	1	6	15	0	2777	281	107	0.716734185104 %	0.21513087128 %	4.04761904762 %	0.654409473356 %	0.21513087128 %	3.57142857143 %
df::program_options_lite::setDefaults	2772	1730	692	1	884	0	1	10	0	2770	836	692	17.0388910281 %	0.036075036075 %	36.4987613543 %	0.211782826338 %	0.036075036075 %	0.412881915772 %
std::ios_base::_M_call_callbacks	2736	1216	760	8	12	0	7	9	0	2721	1195	760	0.424448217317 %	0.292397660819 %	0.607287449393 %	0.339558573854 %	0.255847953216 %	0.455465587045 %
__mpn_rshift	2724	910	530	16	0	0	15	0	0	2693	910	530	0.384245917387 %	0.587371512482 %	0.0 %	0.36023054755 %	0.550660792952 %	0.0 %
TEncSbac::determineCabacInitIdx	2696	590	1550	127	0	0	127	0	0	2442	590	1550	2.62613730356 %	4.71068249258 %	0.0 %	2.62613730356 %	4.71068249258 %	0.0 %
__GI_memcpy	2695	835	370	28	12	13	15	10	13	2652	813	344	1.35897435897 %	1.03896103896 %	2.07468879668 %	0.974358974359 %	0.556586270872 %	1.90871369295 %
TComPicYuv::copyToPic	2520	840	340	41	361	0	41	244	0	2438	235	340	10.8648648649 %	1.62698412698 %	30.593220339 %	7.7027027027 %	1.62698412698 %	20.6779661017 %
df::program_options_lite::OptionSpecific&	2508	627	1140	3	0	0	3	0	0	2502	627	1140	0.0701754385965 %	0.11961722488 %	0.0 %	0.0701754385965 %	0.11961722488 %	0.0 %
TComSlice::resetWpScaling	2460	10	1920	4	0	535	4	0	535	2452	10	850	12.277904328 %	0.162601626016 %	27.7202072539 %	12.277904328 %	0.162601626016 %	27.7202072539 %
TComYuv::destroy	2451	627	741	4	31	0	2	30	0	2445	566	741	0.916470280178 %	0.16319869441 %	2.26608187135 %	0.837915684734 %	0.0815993472052 %	2.19298245614 %
wctob	2432	768	640	1	0	0	1	0	0	2430	768	640	0.0260416666667 %	0.0411184210526 %	0.0 %	0.0260416666667 %	0.0411184210526 %	0.0 %
_dl_runtime_resolve	2431	1326	1105	13	0	2	7	0	0	2411	1326	1103	0.308515014397 %	0.534759358289 %	0.082270670506 %	0.143973673385 %	0.287947346771 %	0.0 %
std::basic_ios<char,	2340	936	468	10	6	0	2	0	0	2328	930	468	0.42735042735 %	0.42735042735 %	0.42735042735 %	0.0534188034188 %	0.0854700854701 %	0.0 %
initRasterToPelXY	2336	296	339	4	1	34	4	0	34	2328	295	271	1.31268933019 %	0.171232876712 %	5.51181102362 %	1.27903062942 %	0.171232876712 %	5.35433070866 %
std::num_put<char,	2281	968	830	9	2	0	4	0	0	2268	966	830	0.269673939691 %	0.394563787812 %	0.111234705228 %	0.0980632507968 %	0.175361683472 %	0.0 %
TComSlice::applyReferencePictureSet	2271	1012	415	52	61	4	52	13	0	2167	938	411	3.16387236344 %	2.28974020255 %	4.55501051156 %	1.75770686858 %	2.28974020255 %	0.911002102313 %
_dl_map_object	2262	501	385	23	1	5	23	0	5	2216	500	375	0.921219822109 %	1.01679929266 %	0.677200902935 %	0.889453621347 %	1.01679929266 %	0.564334085779 %
destroyROM	2183	446	441	3	29	0	3	27	0	2177	390	441	1.04234527687 %	0.137425561154 %	3.2694475761 %	0.977198697068 %	0.137425561154 %	3.04396843292 %
std::istreambuf_iterator<char,	2092	619	509	75	13	2	24	0	0	1993	606	507	2.7950310559 %	3.58508604207 %	1.32978723404 %	0.745341614907 %	1.14722753346 %	0.0 %
getenv	2043	681	66	4	61	0	4	0	0	2035	620	66	2.32974910394 %	0.195790504161 %	8.16599732262 %	0.143369175627 %	0.195790504161 %	0.0 %
fwrite	2041	727	449	24	14	1	8	2	0	2009	711	448	1.21230960522 %	1.17589416952 %	1.27551020408 %	0.310848616724 %	0.391964723175 %	0.170068027211 %
read_int	1975	755	325	24	1	0	23	1	0	1928	753	325	0.818330605565 %	1.21518987342 %	0.0925925925926 %	0.785597381342 %	1.16455696203 %	0.0925925925926 %
TComSlice::checkThatAllRefPicsAreAvailable	1974	983	405	50	158	1	50	29	0	1874	796	404	6.21653777513 %	2.53292806484 %	11.4553314121 %	2.3497917906 %	2.53292806484 %	2.08933717579 %
index	1906	220	72	7	10	0	7	10	0	1892	200	72	0.773430391265 %	0.367261280168 %	3.42465753425 %	0.773430391265 %	0.367261280168 %	3.42465753425 %
SyntaxElementWriter::xWriteFlag	1892	1032	688	6	0	5	6	0	0	1880	1032	683	0.304540420819 %	0.317124735729 %	0.290697674419 %	0.166112956811 %	0.317124735729 %	0.0 %
TEncSlice::initEncSlice	1886	765	443	181	115	43	181	115	40	1524	535	360	10.9566903685 %	9.59703075292 %	13.0794701987 %	10.8597285068 %	9.59703075292 %	12.8311258278 %
std::basic_stringbuf<char,	1880	752	564	16	0	0	14	0	0	1850	752	564	0.500625782228 %	0.851063829787 %	0.0 %	0.438047559449 %	0.744680851064 %	0.0 %
std::istream&	1794	650	676	73	0	0	5	0	0	1716	650	676	2.33974358974 %	4.06911928651 %	0.0 %	0.160256410256 %	0.278706800446 %	0.0 %
writeAnnexB	1758	479	541	50	96	14	50	56	6	1658	327	521	5.75953923686 %	2.8441410694 %	10.7843137255 %	4.0316774658 %	2.8441410694 %	6.07843137255 %
TEncCavlc::codeSliceHeader	1747	509	357	136	67	6	136	53	2	1475	389	349	7.9984691925 %	7.78477389811 %	8.42956120092 %	7.30960581707 %	7.78477389811 %	6.35103926097 %
SyntaxElementWriter::xWriteCode	1746	776	582	7	1	1	5	1	0	1734	774	581	0.289948453608 %	0.400916380298 %	0.147275405007 %	0.193298969072 %	0.28636884307 %	0.0736377025037 %
std::ios_base::Init::Init	1712	426	619	38	25	23	36	0	20	1638	401	576	3.11933260791 %	2.21962616822 %	4.59330143541 %	2.03119332608 %	2.10280373832 %	1.91387559809 %
strlen	1698	247	2	6	6	0	6	5	0	1686	236	2	0.616332819723 %	0.353356890459 %	2.40963855422 %	0.564971751412 %	0.353356890459 %	2.00803212851 %
df::program_options_lite::Option<unsigned	1676	497	838	49	2	0	11	0	0	1616	495	838	1.69378943872 %	2.92362768496 %	0.149812734082 %	0.365327133843 %	0.656324582339 %	0.0 %
std::num_get<char,	1664	650	676	11	0	6	6	0	0	1647	650	670	0.56856187291 %	0.661057692308 %	0.452488687783 %	0.200668896321 %	0.360576923077 %	0.0 %
_dl_load_cache_lookup	1659	464	242	17	35	0	17	35	0	1625	394	242	2.19873150106 %	1.02471368294 %	4.95750708215 %	2.19873150106 %	1.02471368294 %	4.95750708215 %
__run_exit_handlers	1652	336	274	4	39	2	4	38	0	1644	259	272	1.98938992042 %	0.242130750605 %	6.72131147541 %	1.85676392573 %	0.242130750605 %	6.22950819672 %
ContextModel::buildNextStateTable	1618	389	389	2	8	8	2	8	8	1614	373	373	0.751252086811 %	0.123609394314 %	2.05655526992 %	0.751252086811 %	0.123609394314 %	2.05655526992 %
std::num_get<char,	1598	482	400	55	4	0	21	0	0	1522	478	400	2.37903225806 %	3.44180225282 %	0.453514739229 %	0.846774193548 %	1.31414267835 %	0.0 %
__cxa_atexit	1564	408	544	4	0	24	2	0	15	1558	408	505	1.11287758347 %	0.255754475703 %	2.52100840336 %	0.675675675676 %	0.127877237852 %	1.5756302521 %
_dl_important_hwcaps	1520	216	162	21	0	3	21	0	3	1478	216	156	1.26448893572 %	1.38157894737 %	0.793650793651 %	1.26448893572 %	1.38157894737 %	0.793650793651 %
TComReferencePictureSet::getDeltaPOC	1512	1512	0	1	5	0	1	4	0	1510	1503	0	0 %	0 %	0 %	0 %	0 %	0 %
__x86.get_pc_thunk.cx	1480	1480	0	5	0	0	5	0	0	1470	1480	0	0 %	0 %	0 %	0 %	0 %	0 %
_IO_padn	1480	440	360	24	0	6	24	0	6	1432	440	348	1.31578947368 %	1.62162162162 %	0.75 %	1.31578947368 %	1.62162162162 %	0.75 %
putchar	1450	500	375	30	28	0	30	25	0	1390	447	375	2.49462365591 %	2.06896551724 %	3.2 %	2.36559139785 %	2.06896551724 %	2.85714285714 %
TEncCavlc::codeShortTermRefPicSet	1429	267	682	8	20	0	8	20	0	1413	227	682	1.17746005046 %	0.559832050385 %	2.10748155954 %	1.17746005046 %	0.559832050385 %	2.10748155954 %
std::basic_string<char,	1425	525	600	1	0	0	1	0	0	1423	525	600	0.0392156862745 %	0.0701754385965 %	0.0 %	0.0392156862745 %	0.0701754385965 %	0.0 %
__mpn_lshift	1394	563	298	22	0	6	16	0	6	1356	563	286	1.24168514412 %	1.57819225251 %	0.696864111498 %	0.975609756098 %	1.14777618364 %	0.696864111498 %
__GI_memcmp	1377	461	147	7	1	0	7	1	0	1363	459	147	0.403022670025 %	0.508351488744 %	0.164473684211 %	0.403022670025 %	0.508351488744 %	0.164473684211 %
std::string::swap	1358	776	291	7	12	0	7	0	0	1344	764	291	0.783505154639 %	0.515463917526 %	1.12464854733 %	0.288659793814 %	0.515463917526 %	0.0 %
TComSlice::TComSlice	1350	30	840	41	0	103	41	0	103	1268	30	634	6.48648648649 %	3.03703703704 %	11.8390804598 %	6.48648648649 %	3.03703703704 %	11.8390804598 %
initRasterToZscan	1310	263	260	1	0	32	1	0	32	1308	263	196	1.80032733224 %	0.0763358778626 %	6.11854684512 %	1.80032733224 %	0.0763358778626 %	6.11854684512 %
df::program_options_lite::OptionSpecific&	1284	362	394	13	11	6	12	0	6	1259	351	382	1.47058823529 %	1.01246105919 %	2.24867724868 %	0.882352941176 %	0.934579439252 %	0.793650793651 %
dl_main	1282	322	258	68	52	26	68	25	20	1146	245	212	7.8410311493 %	5.30421216849 %	13.4482758621 %	6.06874328679 %	5.30421216849 %	7.75862068966 %
_dl_new_object	1263	260	302	17	7	45	17	7	45	1229	246	212	3.78082191781 %	1.34600158353 %	9.25266903915 %	3.78082191781 %	1.34600158353 %	9.25266903915 %
TComSlice::setRefPicList	1258	258	354	81	35	34	81	5	16	1096	218	304	8.02139037433 %	6.43879173291 %	11.2745098039 %	5.45454545455 %	6.43879173291 %	3.43137254902 %
__mpn_extract_double	1252	390	351	23	0	6	23	0	6	1206	390	339	1.45509282489 %	1.83706070288 %	0.80971659919 %	1.45509282489 %	1.83706070288 %	0.80971659919 %
0x001366ab	1250	1250	0	0	0	0	0	0	0	1250	1250	0	0 %	0 %	0 %	0 %	0 %	0 %
wctype_l	1230	217	382	3	4	0	3	0	0	1224	213	382	0.382722799344 %	0.243902439024 %	0.667779632721 %	0.164024056862 %	0.243902439024 %	0.0 %
std::locale::_Impl::_Impl	1226	179	638	84	48	52	84	1	52	1058	130	534	9.00636319139 %	6.8515497553 %	12.2399020808 %	6.7058247675 %	6.8515497553 %	6.48714810282 %
ProfileTierLevel::ProfileTierLevel	1218	63	357	4	0	32	2	0	29	1212	63	296	2.1978021978 %	0.328407224959 %	7.61904761905 %	1.89255189255 %	0.164203612479 %	6.90476190476 %
TEncSearch::init	1207	283	342	21	2	18	21	0	7	1165	281	317	2.23799126638 %	1.73985086993 %	3.2 %	1.52838427948 %	1.73985086993 %	1.12 %
__libc_memalign	1155	308	292	3	2	6	3	0	3	1149	306	283	0.626780626781 %	0.25974025974 %	1.33333333333 %	0.34188034188 %	0.25974025974 %	0.5 %
std::ctype<char>::_M_widen_init	1155	81	334	7	3	8	5	0	0	1143	78	326	1.14649681529 %	0.606060606061 %	2.65060240964 %	0.31847133758 %	0.4329004329 %	0.0 %
TEncTop::create	1145	485	423	11	23	7	11	0	0	1123	462	416	1.99707744764 %	0.960698689956 %	3.30396475771 %	0.535801266439 %	0.960698689956 %	0.0 %
df::program_options_lite::OptionSpecific&	1132	328	452	7	12	2	7	0	2	1118	316	448	1.09832635983 %	0.618374558304 %	1.79487179487 %	0.470711297071 %	0.618374558304 %	0.25641025641 %
fflush	1113	378	273	32	8	0	28	3	0	1053	367	273	2.26757369615 %	2.87511230907 %	1.22887864823 %	1.75736961451 %	2.51572327044 %	0.460829493088 %
df::program_options_lite::Option<unsigned	1095	292	288	4	28	0	4	0	0	1087	264	288	1.91044776119 %	0.365296803653 %	4.8275862069 %	0.238805970149 %	0.365296803653 %	0.0 %
EnvVar::EnvVar	1085	310	404	20	6	0	20	0	0	1045	304	404	1.44524735964 %	1.84331797235 %	0.840336134454 %	1.11172873819 %	1.84331797235 %	0.0 %
open_verify	1061	268	195	12	8	0	12	8	0	1037	252	195	1.31233595801 %	1.13100848256 %	1.72786177106 %	1.31233595801 %	1.13100848256 %	1.72786177106 %
TComScalingList::init	1023	174	234	2	2	10	2	0	6	1019	172	218	0.978336827393 %	0.19550342131 %	2.94117647059 %	0.559049615653 %	0.19550342131 %	1.47058823529 %
std::istreambuf_iterator<char,	960	360	180	3	0	0	1	0	0	956	360	180	0.2 %	0.3125 %	0.0 %	0.0666666666667 %	0.104166666667 %	0.0 %
confirmPara	960	288	192	1	0	0	1	0	0	958	288	192	0.0694444444444 %	0.104166666667 %	0.0 %	0.0694444444444 %	0.104166666667 %	0.0 %
TEncCu::create	953	339	463	20	16	15	20	0	2	913	323	446	2.90598290598 %	2.09863588667 %	3.86533665835 %	1.25356125356 %	2.09863588667 %	0.249376558603 %
__write_nocancel	940	564	188	0	0	0	0	0	0	940	564	188	0.0 %	0.0 %	0.0 %	0.0 %	0.0 %	0.0 %
TEncTop::selectReferencePictureSet	922	365	87	25	59	6	25	54	5	872	252	76	6.55021834061 %	2.7114967462 %	14.3805309735 %	6.1135371179 %	2.7114967462 %	13.0530973451 %
std::string::push_back	918	351	243	10	0	0	3	0	0	905	351	243	0.661375661376 %	1.08932461874 %	0.0 %	0.198412698413 %	0.326797385621 %	0.0 %
TComReferencePictureSet::setUsed	915	732	183	1	0	0	1	0	0	913	732	183	0.0546448087432 %	0.109289617486 %	0.0 %	0.0546448087432 %	0.109289617486 %	0.0 %
TComReferencePictureSet::setDeltaPOC	915	732	183	0	0	0	0	0	0	915	732	183	0.0 %	0.0 %	0.0 %	0.0 %	0.0 %	0.0 %
std::ostream::operator<<	901	347	347	38	3	0	3	0	0	860	344	347	2.57053291536 %	4.21753607103 %	0.432276657061 %	0.188087774295 %	0.332963374029 %	0.0 %
_dl_mcount_wrapper_check	896	384	128	2	0	0	2	0	0	892	384	128	0.142045454545 %	0.223214285714 %	0.0 %	0.142045454545 %	0.223214285714 %	0.0 %
std::basic_stringbuf<char,	888	444	0	2	0	0	2	0	0	884	444	0	0 %	0 %	0 %	0 %	0 %	0 %
